2026-03-22 17:45:45,392 INFO    MainThread:37840 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2026-03-22 17:45:45,393 INFO    MainThread:37840 [wandb_setup.py:_flush():67] Configure stats pid to 37840
2026-03-22 17:45:45,393 INFO    MainThread:37840 [wandb_setup.py:_flush():67] Loading settings from /Users/remy.benmessaoud/.config/wandb/settings
2026-03-22 17:45:45,393 INFO    MainThread:37840 [wandb_setup.py:_flush():67] Loading settings from /Users/remy.benmessaoud/Documents/python_projects/smc_rnns-main/wandb/settings
2026-03-22 17:45:45,393 INFO    MainThread:37840 [wandb_setup.py:_flush():67] Loading settings from environment variables
2026-03-22 17:45:45,393 INFO    MainThread:37840 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /Users/remy.benmessaoud/Documents/python_projects/smc_rnns-main/wandb/offline-run-20260322_174545-0mt2ztsg/logs/debug.log
2026-03-22 17:45:45,393 INFO    MainThread:37840 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /Users/remy.benmessaoud/Documents/python_projects/smc_rnns-main/wandb/offline-run-20260322_174545-0mt2ztsg/logs/debug-internal.log
2026-03-22 17:45:45,393 INFO    MainThread:37840 [wandb_init.py:init():761] calling init triggers
2026-03-22 17:45:45,393 INFO    MainThread:37840 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'dim_x': 64, 'dim_z': 3, 'dim_N': 512, 'rnn_params': {'train_noise_x': True, 'train_noise_z': True, 'train_noise_z_t0': True, 'init_noise_z': 0.1, 'init_noise_z_t0': 1, 'init_noise_x': 0.1, 'noise_z': 'full', 'noise_x': 'diag', 'noise_z_t0': 'full', 'transition': 'low_rank', 'activation': 'clipped_relu', 'decay': 0.9, 'train_neuron_bias': True, 'weight_dist': 'uniform', 'initial_state': 'trainable', 'simulate_input': False, 'observation': 'affine', 'readout_from': 'z', 'train_obs_bias': True, 'train_obs_weights': True, 'obs_nonlinearity': 'identity', 'obs_likelihood': 'Gauss'}, 'name': 'EEG', 'dur': 50, 'n_trials': 500, 'lr': 0.001, 'lr_end': 1e-06, 'n_epochs': 1500, 'grad_norm': 0, 'eval_epochs': 25, 'batch_size': 10, 'cuda': False, 'smoothing': 20, 'freq_cut_off': -1, 'k': 10, 'resample': 'systematic', 'loss_f': 'opt_smc', 'run_eval': True, 'smooth_at_eval': True, 'init_state_eval': 'posterior_sample', 'll': [], 'KL_x': [], 'PSH': [], 'mean_error': [], 'alphan': [], '_wandb': {}}
2026-03-22 17:45:45,393 INFO    MainThread:37840 [wandb_init.py:init():784] starting backend
2026-03-22 17:45:45,393 INFO    MainThread:37840 [wandb_init.py:init():788] sending inform_init request
2026-03-22 17:45:45,426 INFO    MainThread:37840 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2026-03-22 17:45:45,426 INFO    MainThread:37840 [wandb_init.py:init():798] backend started and connected
2026-03-22 17:45:45,430 INFO    MainThread:37840 [wandb_init.py:init():891] updated telemetry
2026-03-22 17:45:45,431 INFO    MainThread:37840 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2026-03-22 17:45:45,575 INFO    MainThread:37840 [wandb_init.py:init():990] starting run threads in backend
2026-03-22 17:45:45,706 INFO    MainThread:37840 [wandb_run.py:_console_start():2375] atexit reg
2026-03-22 17:45:45,707 INFO    MainThread:37840 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2026-03-22 17:45:45,708 INFO    MainThread:37840 [wandb_run.py:_redirect():2292] Wrapping output streams.
2026-03-22 17:45:45,708 INFO    MainThread:37840 [wandb_run.py:_redirect():2315] Redirects installed.
2026-03-22 17:45:45,711 INFO    MainThread:37840 [wandb_init.py:init():1032] run started, returning control to user process
2026-03-22 17:45:45,712 INFO    MainThread:37840 [wandb_watch.py:_watch():71] Watching
2026-03-22 19:35:50,082 INFO    MainThread:37840 [wandb_run.py:_finish():2112] finishing run vi_rnns/0mt2ztsg
2026-03-22 19:35:50,083 INFO    MainThread:37840 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2026-03-22 19:35:50,083 INFO    MainThread:37840 [wandb_run.py:_restore():2322] restore
2026-03-22 19:35:50,083 INFO    MainThread:37840 [wandb_run.py:_restore():2328] restore done
2026-03-22 19:35:50,111 INFO    MainThread:37840 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2026-03-22 19:35:50,111 INFO    MainThread:37840 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
